"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"12","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:322 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"13","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:324 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"14","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:325 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"15","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:326 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","false","7163650","6892261","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"16","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:327 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","12911483","12791640","false","N/A","N/A","N/A","N/A","false","1"
"17","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:328 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","16089937","15765630","false","N/A","N/A","N/A","N/A","false","1"
"18","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:329 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","false","5597055","5405807","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"19","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:330 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","false","6651893","6529356","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"20","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:331 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"21","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:332 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"22","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:333 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","13552678","12713679","false","N/A","N/A","N/A","N/A","false","1"
"23","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:334 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"24","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:336 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","false","7956464","7811975","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"25","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:337 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"26","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:338 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"27","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:339 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"28","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:340 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"29","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:342 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"30","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:343 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"31","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:344 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","false","5258509","5166088","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"32","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:345 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","14436136","14326763","false","N/A","N/A","N/A","N/A","false","1"
"33","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:346 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","13408081","13194459","false","N/A","N/A","N/A","N/A","false","1"
"34","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:347 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","false","5362370","5264497","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"35","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:348 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","false","5748264","5612189","false","java.lang.NullPointerException","null","N/A","N/A","false","1"
"36","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:349 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"37","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:350 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"38","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:351 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","12910751","12304397","false","N/A","N/A","N/A","N/A","false","1"
"39","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:352 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"40","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:354 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","12852315","12762037","false","N/A","N/A","N/A","N/A","false","1"
"41","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:355 |","45","188","com.google.gson.internal.LinkedTreeMapTest.testLargeSetOfRandomKeys [gson]","1","true","true","true","13777472","13683179","false","N/A","N/A","N/A","N/A","false","1"
