"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"19","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:101 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","129466039","1483480","false","N/A","N/A","N/A","N/A","false","1"
"20","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:102 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","125546226","1748069","false","N/A","N/A","N/A","N/A","false","1"
"21","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:103 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"22","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:105 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"23","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:107 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"24","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:108 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"25","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:109 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"26","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:110 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"27","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:111 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"28","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:113 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"29","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:114 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","133103363","1661936","false","N/A","N/A","N/A","N/A","false","1"
"30","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:115 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"31","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:116 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","121274095","1265474","false","N/A","N/A","N/A","N/A","false","1"
"32","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:117 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","127998439","1535683","false","N/A","N/A","N/A","N/A","false","1"
"33","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:118 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","false","35041816","1983676","false","java.net.ConnectException","Connection refused (Connection refused)","N/A","N/A","false","1"
"34","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:119 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","false","35773840","1946356","false","java.net.ConnectException","Connection refused (Connection refused)","N/A","N/A","false","1"
"35","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:120 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"36","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:122 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"37","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:123 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"38","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:126 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"39","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:127 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","false","130140595","2422369","false","java.lang.AssertionError","expected:<305> but was:<404>","305","404","false","1"
"40","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:128 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","123285033","1323418","false","N/A","N/A","N/A","N/A","false","1"
"41","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:129 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"42","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:130 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","126333278","1374862","false","N/A","N/A","N/A","N/A","false","1"
"43","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:133 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"44","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:134 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","130728249","1733090","false","N/A","N/A","N/A","N/A","false","1"
"45","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:135 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"46","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:137 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"47","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:138 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","133809686","1309266","false","N/A","N/A","N/A","N/A","false","1"
"48","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:139 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","129181030","1532720","false","N/A","N/A","N/A","N/A","false","1"
"49","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:140 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"50","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:142 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","136771799","1669418","false","N/A","N/A","N/A","N/A","false","1"
"51","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:143 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"52","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:144 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","150540216","1875950","false","N/A","N/A","N/A","N/A","false","1"
"53","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:145 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","135289490","1245867","false","N/A","N/A","N/A","N/A","false","1"
"54","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:146 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","124351734","1582224","false","N/A","N/A","N/A","N/A","false","1"
"55","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:147 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"56","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:149 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","false","38181662","2451214","false","java.net.ConnectException","Connection refused (Connection refused)","N/A","N/A","false","1"
"57","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:150 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"58","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:151 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"59","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:248 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"60","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:249 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"61","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:255 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","138692066","1806211","false","N/A","N/A","N/A","N/A","false","1"
"62","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:260 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","false","true","true","142911014","1664747","false","N/A","N/A","N/A","N/A","true","0"
"63","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:261 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","true","true","126216942","1166836","false","N/A","N/A","N/A","N/A","false","1"
"64","1","| gin.edit.statement.DeleteStatement /home/a1600128/fast/ginnoroot/ginexp/casestudies/spark/./src/main/java/spark/embeddedserver/jetty/EmbeddedJettyServer.java:271 |","37","20","spark.RedirectTest.testRedirectAnyPutWithSpecificCode []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
