,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
297,jcodec404,jcodec,404,"org.jcodec.codecs.h264.io.CABAC.readIntraChromaPredMode(MDecoder,int,MBType,MBType,boolean,boolean)",15,1.33333333,4.38095238,0.292,3,0.2,20,3,0,20,3,3,0.15,0,0.15,0.15,12,17,100,0.8,1.13333333,6.66666667,0,69,1,1.167261753,0.25,0.87321246,0.81394103
300,opennlp18,opennlp,18,opennlp.tools.ml.model.ComparableEvent.compareTo(ComparableEvent),33,1.33333333,7.94285714,0.241,6,0.18181818,44,11,0,44,28,0,0.25,0,0.63636364,0,19,39,612,0.57575758,1.18181818,18.5454546,8,142,0.94666667,1.292060947,0.18181818,1.016394535,0.81818182
308,jcodec125,jcodec,125,"org.jcodec.codecs.h264.decode.SliceReader.readPredictionI4x4Block(boolean,boolean,MBType,MBType,int,int,int)",11,2,3.75,0.341,2,0.18181818,22,5,1,22,8,2,0.22727273,0.04545455,0.36363636,0.09090909,11,11,39,1,1,3.54545455,0,73,1,1.223056733,0.203278905,0.927094458,0.823216832
331,spark18,spark,18,"spark.utils.MimeParse.fitnessAndQualityParsed(String,Collection<ParseResults>)",25,7.76,5.32258065,0.213,4,0.16,194,16,1,194,56,3,0.08247423,0.00515464,0.28865979,0.01546392,15,17,40,0.6,0.68,1.6,17,115,0.87121212,1.29418364,0.160745553,0.997452401,0.840142329
338,jcodec353,jcodec,353,"org.jcodec.codecs.h264.io.CABAC.readMBQpDelta(MDecoder,MBType)",16,1.375,5.53846154,0.346,3,0.1875,22,3,1,22,12,5,0.13636364,0.04545455,0.54545455,0.22727273,9,12,24,0.5625,0.75,1.5,0,50,1,1.121277701,0.294633915,0.795150101,0.843687824
398,opennlp80,opennlp,80,opennlp.tools.ml.model.ComparablePredicate.compareTo(ComparablePredicate),12,3.5,3.07692308,0.256,2,0.16666667,42,6,2,42,19,14,0.14285714,0.04761905,0.45238095,0.33333333,7,14,24,0.58333333,1.16666667,2,0,64,1,1.067187372,0.372677995,0.687184275,0.897527464
400,mybatis-314,mybatis-3,14,org.apache.ibatis.builder.xml.XMLConfigBuilder.mapperElement(XNode),22,1.63636364,5.45714286,0.248,3,0.13636364,36,4,2,36,14,9,0.11111111,0.05555556,0.38888889,0.25,13,27,13,0.59090909,1.22727273,0.59090909,5,109,0.95614035,1.143839046,0.284771913,0.762295902,0.899092744
416,gson27,gson,27,com.google.gson.JsonParser.parse(Reader),12,12.9166667,2.25,0.188,1.5,0.125,155,7,7,155,45,43,0.04516129,0.04516129,0.29032258,0.27741936,6,12,7,0.5,1,0.58333333,17,24,0.58536585,1.134789752,0.304280301,0.733312881,0.917925107
420,arthas3,arthas,3,com.taobao.arthas.core.util.TokenUtils.findSecondTokenText(List<CliToken>),10,329.1,2.42857143,0.243,1,0.1,3291,580,253,3291,1547,624,0.17623823,0.07687633,0.47006989,0.18960802,7,11,15,0.7,1.1,1.5,0,35,1,1.21108842,0.214362313,0.816538524,0.919756055
