,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
108,druid806,druid,806,com.alibaba.druid.sql.dialect.oracle.parser.OracleExprParser.partitionClauseRest(SQLPartitionBy),13,1.46153846,7.69230769,0.5920000000000001,9.0,0.69230769,19,7,7,19,11,11,0.36842105,0.36842105,0.57894737,0.57894737,3,11,4,0.23076923,0.84615385,0.30769231,0,37,1.0,0.521497723,0.902479914,0.810293314,0.6556329879999999
113,druid498,druid,498,com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(SQLExprTableSource),17,1.52941177,8.66666667,0.51,9.5,0.55882353,26,3,3,26,13,13,0.11538462,0.11538462,0.5,0.5,5,14,12,0.29411765,0.82352941,0.70588235,0,54,1.0,0.666810826,0.749855811,0.749855811,0.666810826
118,druid505,druid,505,com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseTableSourceRest(SQLTableSource),14,1.5,8.15384615,0.5820000000000001,9.0,0.64285714,21,9,8,21,15,12,0.42857143,0.38095238,0.71428571,0.57142857,3,10,4,0.21428571,0.71428571,0.28571429,0,35,1.0,0.55787498,0.860113895,0.772618129,0.673855795
141,gson41,gson,41,com.google.gson.stream.JsonWriter.beforeValue(),24,6.25,14.7,0.613,16.0,0.66666667,150,46,37,150,107,91,0.30666667,0.24666667,0.71333333,0.60666667,7,22,7,0.29166667,0.91666667,0.29166667,0,45,1.0,0.515579497,0.90138166,0.7740513920000001,0.6922106309999999
144,mybatis-338,mybatis-3,38,org.apache.ibatis.builder.xml.XMLConfigBuilder.settingsElement(Properties),28,1.14285714,14.7051282,0.525,14.5,0.51785714,32,15,15,32,17,16,0.46875,0.46875,0.53125,0.5,1,29,-1,0.03571429,1.03571429,-0.035714300000000004,0,251,1.0,0.694594657,0.71984444,0.71984444,0.694594657
173,spatial4j27,spatial4j,27,org.locationtech.spatial4j.context.SpatialContextFactory.checkDefaultFormats(),11,11.818181800000001,6.0,0.545,6.0,0.54545455,130,41,39,130,75,72,0.31538462,0.3,0.57692308,0.55384615,3,11,4,0.27272727,1.0,0.36363636,0,47,1.0,0.636918224,0.777345627,0.704680015,0.716489444
216,mybatis-3178,mybatis-3,178,org.apache.ibatis.builder.xml.XMLMapperBuilder.bindMapperForNamespace(),17,1.70588235,7.45454546,0.439,9.0,0.52941176,29,5,4,29,17,17,0.17241379,0.13793103,0.5862069000000001,0.5862069000000001,5,10,7,0.29411765,0.58823529,0.41176471,0,36,1.0,0.626640265,0.7898831190000001,0.671938644,0.751725895
