,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
6,mybatis-3145,mybatis-3,145,"org.apache.ibatis.builder.xml.XMLStatementBuilder.parseSelectKeyNode(String,XNode,Class<?>,LanguageDriver,String)",30,1,14.2258065,0.474,19,0.63333333,30,9,9,30,8,6,0.3,0.3,0.26666667,0.2,1,22,-1,0.03333333,0.73333333,-0.0333333,0,103,1,0.880025254,0.664161958,1.020348522,0.417665472
68,druid623,druid,623,com.alibaba.druid.pool.DruidPooledConnection.checkState(),15,1.33333333,7.55555556,0.504,8,0.53333333,20,6,6,20,8,8,0.3,0.3,0.4,0.4,3,13,4,0.2,0.86666667,0.26666667,0,25,1,0.760116952,0.666666664,0.80277297,0.6146363
108,druid806,druid,806,com.alibaba.druid.sql.dialect.oracle.parser.OracleExprParser.partitionClauseRest(SQLPartitionBy),13,1.46153846,7.69230769,0.592,9,0.69230769,19,7,7,19,11,11,0.36842105,0.36842105,0.57894737,0.57894737,3,11,4,0.23076923,0.84615385,0.30769231,0,37,1,0.521497723,0.902479914,0.810293314,0.655632988
118,druid505,druid,505,com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseTableSourceRest(SQLTableSource),14,1.5,8.15384615,0.582,9,0.64285714,21,9,8,21,15,12,0.42857143,0.38095238,0.71428571,0.57142857,3,10,4,0.21428571,0.71428571,0.28571429,0,35,1,0.55787498,0.860113895,0.772618129,0.673855795
144,mybatis-338,mybatis-3,38,org.apache.ibatis.builder.xml.XMLConfigBuilder.settingsElement(Properties),28,1.14285714,14.7051282,0.525,14.5,0.51785714,32,15,15,32,17,16,0.46875,0.46875,0.53125,0.5,1,29,-1,0.03571429,1.03571429,-0.0357143,0,251,1,0.694594657,0.71984444,0.71984444,0.694594657
173,spatial4j27,spatial4j,27,org.locationtech.spatial4j.context.SpatialContextFactory.checkDefaultFormats(),11,11.8181818,6,0.545,6,0.54545455,130,41,39,130,75,72,0.31538462,0.3,0.57692308,0.55384615,3,11,4,0.27272727,1,0.36363636,0,47,1,0.636918224,0.777345627,0.704680015,0.716489444
