,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
362,druid631,druid,631,com.alibaba.druid.util.FnvHash.fnv1a_64(String),12,1.08333333,2.875,0.24,2,0.16666667,13,5,5,13,3,3,0.38461539,0.38461539,0.23076923,0.23076923,3,9,4,0.25,0.75,0.33333333,2,27,0.93103448,1.134090127,0.284661582,0.787079257,0.864695829
396,jcodec262,jcodec,262,org.jcodec.containers.mxf.model.UL.toString(),12,1.58333333,4.14814815,0.346,2,0.16666667,19,6,6,19,6,6,0.31578947,0.31578947,0.31578947,0.31578947,3,13,4,0.25,1.08333333,0.33333333,2,90,0.97826087,1.078233967,0.357072497,0.704217174,0.89116072
457,druid690,druid,690,com.alibaba.druid.sql.ast.expr.SQLPropertyExpr.computeHashCode64(),15,1.33333333,4.66666667,0.311,2,0.13333333,20,7,6,20,9,9,0.35,0.3,0.45,0.45,3,15,3,0.2,1,0.2,3,43,0.93478261,1.026455609,0.469337594,0.565930894,0.976530141
