,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
297,jcodec404,jcodec,404,"org.jcodec.codecs.h264.io.CABAC.readIntraChromaPredMode(MDecoder,int,MBType,MBType,boolean,boolean)",15,1.33333333,4.38095238,0.292,3.0,0.2,20,3,0,20,3,3,0.15,0.0,0.15,0.15,12,17,100,0.8,1.13333333,6.66666667,0,69,1.0,1.167261753,0.25,0.87321246,0.81394103
300,opennlp18,opennlp,18,opennlp.tools.ml.model.ComparableEvent.compareTo(ComparableEvent),33,1.33333333,7.94285714,0.24100000000000002,6.0,0.18181818,44,11,0,44,28,0,0.25,0.0,0.63636364,0.0,19,39,612,0.57575758,1.18181818,18.5454546,8,142,0.94666667,1.292060947,0.18181818,1.016394535,0.81818182
308,jcodec125,jcodec,125,"org.jcodec.codecs.h264.decode.SliceReader.readPredictionI4x4Block(boolean,boolean,MBType,MBType,int,int,int)",11,2.0,3.75,0.341,2.0,0.18181818,22,5,1,22,8,2,0.22727273,0.04545455,0.36363636,0.09090909,11,11,39,1.0,1.0,3.54545455,0,73,1.0,1.223056733,0.203278905,0.927094458,0.8232168320000001
331,spark18,spark,18,"spark.utils.MimeParse.fitnessAndQualityParsed(String,Collection<ParseResults>)",25,7.76,5.32258065,0.213,4.0,0.16,194,16,1,194,56,3,0.08247423,0.00515464,0.28865979,0.01546392,15,17,40,0.6,0.68,1.6,17,115,0.87121212,1.29418364,0.160745553,0.997452401,0.8401423290000001
420,arthas3,arthas,3,com.taobao.arthas.core.util.TokenUtils.findSecondTokenText(List<CliToken>),10,329.1,2.42857143,0.243,1.0,0.1,3291,580,253,3291,1547,624,0.17623823,0.07687633,0.47006989,0.18960802,7,11,15,0.7,1.1,1.5,0,35,1.0,1.21108842,0.214362313,0.816538524,0.919756055
