CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
junit4248,junit4,248,org.junit.internal.runners.JUnit38ClassRunner.filter(Filter),15,1.53333333,3.94444444,0.263,2,0.13333333,23,5,0,23,5,0,0.2173913,0,0.2173913,0,6,16,8,0.4,1.06666667,0.53333333,0,59,1,1.323295552,0.13333333,1.00884973,0.86666667
spark10,spark,10,spark.utils.MimeParse.parseMimeType(String),30,5.73333333,7.79166667,0.260,4,0.13333333,172,26,0,172,53,0,0.15116279,0,0.30813954,0,5,20,12,0.16666667,0.66666667,0.4,6,80,0.93023256,1.323295552,0.13333333,1.00884973,0.86666667
druid462,druid,462,com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseIndexHintList(SQLTableSource),22,1.04545455,9.375,0.426,7.5,0.34090909,23,4,3,23,15,13,0.17391304,0.13043478,0.65217391,0.56521739,4,19,8,0.18181818,0.86363636,0.36363636,0,70,1,0.789580107,0.660067955,0.552498801,0.868257753
spatial4j9,spatial4j,9,"org.locationtech.spatial4j.shape.impl.RectangleImpl.relateXRange(double,double)",27,5.59259259,5.7826087,0.214,4,0.14814815,151,27,5,151,68,28,0.17880795,0.03311258,0.45033113,0.18543046,8,22,49,0.2962963,0.81481482,1.81481482,0,81,1,1.178632729,0.237344328,0.827932008,0.871800453
jcodec328,jcodec,328,"org.jcodec.containers.mkv.MKVType.createById(byte[],long)",11,2.09090909,3.07692308,0.280,2,0.18181818,23,2,2,23,9,7,0.08695652,0.08695652,0.39130435,0.30434783,3,10,3,0.27272727,0.90909091,0.27272727,27,22,0.44897959,1.073942937,0.354521441,0.719020022,0.872954233
druid386,druid,386,com.alibaba.druid.stat.DruidStatService.registerMBean(),10,2,2.5,0.250,2,0.2,20,2,2,20,7,7,0.1,0.1,0.35,0.35,3,7,4,0.3,0.7,0.4,5,18,0.7826087,1.030776406,0.403112887,0.680073525,0.87321246
mybatis-347,mybatis-3,47,"org.apache.ibatis.builder.MapperBuilderAssistant.addResultMap(String,Class<?>,String,Discriminator,List<ResultMapping>,Boolean)",28,1.03571429,9.53333333,0.340,4.5,0.16071429,29,1,1,29,10,7,0.03448276,0.03448276,0.34482759,0.24137931,8,23,25,0.28571429,0.82142857,0.89285714,0,108,1,1.131329242,0.289988024,0.775457564,0.873306632
spatial4j19,spatial4j,19,org.locationtech.spatial4j.shape.ShapeCollection.relate(Shape),23,5.17391304,4.5,0.196,3.5,0.15217391,119,12,4,119,36,25,0.10084034,0.03361345,0.30252101,0.21008403,9,17,39,0.39130435,0.73913044,1.69565217,1,63,0.984375,1.158782257,0.259407399,0.804440264,0.873466873
druid456,druid,456,com.alibaba.druid.sql.repository.SchemaRepository.findTable(SQLName),15,1.26666667,3.75,0.250,2.5,0.16666667,19,3,3,19,5,5,0.15789474,0.15789474,0.2631579,0.2631579,4,12,6,0.26666667,0.8,0.4,2,33,0.94285714,1.112376159,0.311496162,0.755456193,0.873897316
opennlp197,opennlp,197,"opennlp.tools.lemmatizer.DefaultLemmatizerContextGenerator.getContext(int,String[],String[],String[])",43,1.11627907,11.5128205,0.268,9,0.20930233,48,12,7,48,20,18,0.25,0.14583333,0.41666667,0.375,7,30,64,0.1627907,0.69767442,1.48837209,0,165,1,1.007882833,0.429456011,0.659114911,0.875115881
jcodec2,jcodec,2,org.jcodec.common.io.VLC.readVLC(BitReader),19,1.52631579,4.77272727,0.251,3,0.15789474,29,4,2,29,13,7,0.13793103,0.06896552,0.44827586,0.24137931,4,14,5,0.21052632,0.73684211,0.2631579,19,61,0.7625,1.133422525,0.28843495,0.77487812,0.876016689
opennlp94,opennlp,94,opennlp.tools.namefind.TokenNameFinderFactory.createFeatureGenerators(),39,1.51282051,9.14285714,0.234,6.5,0.16666667,59,3,3,59,18,16,0.05084746,0.05084746,0.30508475,0.27118644,7,17,35,0.17948718,0.43589744,0.8974359,13,33,0.7173913,1.107074363,0.318307813,0.74762757,0.876348403
opennlp39,opennlp,39,"opennlp.tools.tokenize.TokenSample.parse(String,String)",44,1.09090909,13.1612903,0.299,7,0.15909091,48,7,6,48,16,12,0.14583333,0.125,0.33333333,0.25,6,24,20,0.13636364,0.54545455,0.45454546,10,102,0.91071429,1.12677775,0.296327383,0.766687627,0.877284502
mybatis-3187,mybatis-3,187,"org.apache.ibatis.io.ClassLoaderWrapper.classForName(String,ClassLoader[])",21,1.52380952,5.625,0.268,3,0.14285714,32,1,1,32,9,6,0.03125,0.03125,0.28125,0.1875,5,8,6,0.23809524,0.38095238,0.28571429,1,42,0.97674419,1.181037735,0.235721048,0.824963279,0.87741104
druid84,druid,84,com.alibaba.druid.filter.FilterChainImpl.preparedStatement_executeQuery(PreparedStatementProxy),10,1.1,3.84615385,0.385,2,0.2,11,2,2,11,4,4,0.18181818,0.18181818,0.36363636,0.36363636,3,7,4,0.3,0.7,0.4,0,30,1,1.022232206,0.415007714,0.667052234,0.878766978
opennlp36,opennlp,36,opennlp.tools.parser.PosSampleStream.read(),24,1.83333333,4,0.167,3,0.125,44,7,3,44,8,4,0.15909091,0.06818182,0.18181818,0.09090909,3,13,3,0.125,0.54166667,0.125,0,48,1,1.261773071,0.154562164,0.917644421,0.879709874
druid541,druid,541,com.alibaba.druid.wall.spi.DB2WallVisitor.visit(SQLSelectStatement),13,1.07692308,5,0.385,3,0.23076923,14,4,3,14,6,6,0.28571429,0.21428571,0.42857143,0.42857143,3,11,4,0.23076923,0.84615385,0.30769231,14,27,0.65853659,0.95825184,0.486752409,0.616267027,0.880562007
disruptor2,disruptor,2,"com.lmax.disruptor.dsl.Disruptor.shutdown(long,TimeUnit)",10,81.2,3.5,0.350,2.5,0.25,812,173,173,812,375,375,0.21305419,0.21305419,0.46182266,0.46182266,4,6,4,0.4,0.6,0.4,0,22,1,0.923111504,0.525147759,0.593409512,0.880783838
opennlp58,opennlp,58,opennlp.tools.parser.Parse.getType(String),34,1.14705882,8.625,0.254,4.5,0.13235294,39,5,4,39,11,6,0.12820513,0.1025641,0.28205128,0.15384615,11,32,11,0.32352941,0.94117647,0.32352941,32,49,0.60493827,1.211935542,0.202943191,0.856442432,0.881181059
druid789,druid,789,"com.alibaba.druid.util.FnvHash.hashCode64(String,int,int)",13,1.23076923,2.72727273,0.210,2,0.15384615,16,5,2,16,9,4,0.3125,0.125,0.5625,0.25,4,9,4,0.30769231,0.69230769,0.30769231,0,35,1,1.13069728,0.29354495,0.765616508,0.882313061
junit4263,junit4,263,org.junit.validator.AnnotationValidatorFactory.createAnnotationValidator(ValidateWith),12,2.58333333,4.27272727,0.356,2,0.16666667,31,4,4,31,9,9,0.12903226,0.12903226,0.29032258,0.29032258,3,10,9,0.25,0.83333333,0.75,0,41,1,1.094571368,0.334761078,0.728985473,0.882457727
opennlp109,opennlp,109,"opennlp.tools.util.featuregen.GeneratorFactory.createGenerator(Element,FeatureGeneratorResourceProvider)",48,1.20833333,13.4,0.279,7.5,0.15625,58,5,4,58,16,15,0.0862069,0.06896552,0.27586207,0.25862069,2,6,2,0.04166667,0.125,0.04166667,0,27,1,1.123190698,0.302156787,0.75766572,0.882495736
opennlp200,opennlp,200,"opennlp.tools.ml.maxent.quasinewton.QNModel.eval(String[],float[],double[])",21,2.47619048,6.35714286,0.303,3,0.14285714,52,5,3,52,17,11,0.09615385,0.05769231,0.32692308,0.21153846,6,17,12,0.28571429,0.80952381,0.57142857,5,82,0.94252874,1.16463105,0.25525807,0.801298797,0.882860353
mybatis-3121,mybatis-3,121,org.apache.ibatis.builder.MapperBuilderAssistant.parseCompositeColumnName(String),12,2.25,3.625,0.302,2,0.16666667,27,3,3,27,9,8,0.11111111,0.11111111,0.33333333,0.2962963,5,10,5,0.41666667,0.83333333,0.41666667,0,52,1,1.090707723,0.339954815,0.723171263,0.88444103
druid769,druid,769,com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(SQLNotNullConstraint),13,1.23076923,4.8,0.369,3,0.23076923,16,8,5,16,7,7,0.5,0.3125,0.4375,0.4375,6,13,18,0.46153846,1,1.38461539,1,50,0.98039216,0.952954473,0.494631871,0.607997276,0.884941935
druid530,druid,530,"com.alibaba.druid.filter.FilterChainImpl.connection_prepareCall(ConnectionProxy,String,int,int)",13,1.38461539,4.8,0.369,3,0.23076923,18,0,0,18,8,8,0,0,0.44444444,0.44444444,3,7,4,0.23076923,0.53846154,0.30769231,2,33,0.94285714,0.94887194,0.500784682,0.601578272,0.888395654
spark52,spark,52,"spark.route.RouteEntry.matches(HttpMethod,String)",11,18.3636364,4,0.364,2,0.18181818,202,26,25,202,73,70,0.12871287,0.12376238,0.36138614,0.34653465,7,7,12,0.63636364,0.63636364,1.09090909,0,32,1,1.047109571,0.391336319,0.67828815,0.888542489
opennlp26,opennlp,26,opennlp.tools.ml.model.HashSumEventStream.read(),24,2.54166667,8.5,0.354,4.5,0.1875,61,4,4,61,25,22,0.06557377,0.06557377,0.40983607,0.36065574,3,7,3,0.125,0.29166667,0.125,7,16,0.69565217,1.033884584,0.406483472,0.666271216,0.88894815
jcodec108,jcodec,108,"org.jcodec.containers.mp4.boxes.NodeBox.findAllPath(Box,Class<T>,String[])",19,1.10526316,6.04761905,0.318,3,0.15789474,21,4,2,21,9,6,0.19047619,0.0952381,0.42857143,0.28571429,6,18,10,0.31578947,0.94736842,0.52631579,26,61,0.70114943,1.104239713,0.326440507,0.7315291,0.889254702
druid599,druid,599,com.alibaba.druid.sql.parser.SQLExprParser.parseColumn(),11,2.09090909,4.16666667,0.379,1.5,0.13636364,23,6,2,23,7,5,0.26086957,0.08695652,0.30434783,0.2173913,5,7,5,0.45454546,0.63636364,0.45454546,0,31,1,1.165480218,0.25662038,0.794400038,0.890576633
jcodec262,jcodec,262,org.jcodec.containers.mxf.model.UL.toString(),12,1.58333333,4.14814815,0.346,2,0.16666667,19,6,6,19,6,6,0.31578947,0.31578947,0.31578947,0.31578947,3,13,4,0.25,1.08333333,0.33333333,2,90,0.97826087,1.078233967,0.357072497,0.704217174,0.89116072
opennlp101,opennlp,101,"opennlp.tools.parser.Parse.parseParse(String,GapLabeler)",52,1.03846154,9.37037037,0.180,6,0.11538462,54,6,4,54,16,7,0.11111111,0.07407407,0.2962963,0.12962963,12,39,48,0.23076923,0.75,0.92307692,14,182,0.92857143,1.241003204,0.173543803,0.877985303,0.894062756
opennlp80,opennlp,80,opennlp.tools.ml.model.ComparablePredicate.compareTo(ComparablePredicate),12,3.5,3.07692308,0.256,2,0.16666667,42,6,2,42,19,14,0.14285714,0.04761905,0.45238095,0.33333333,7,14,24,0.58333333,1.16666667,2,0,64,1,1.067187372,0.372677995,0.687184275,0.897527464
mybatis-374,mybatis-3,74,org.apache.ibatis.reflection.Reflector.getClassMethods(Class<?>),18,1.77777778,4.38461539,0.244,2,0.11111111,32,5,4,32,5,4,0.15625,0.125,0.15625,0.125,4,11,4,0.22222222,0.61111111,0.22222222,0,54,1,1.24729646,0.167244368,0.882026461,0.897634925
