,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
442,junit4658,junit4,658,org.junit.internal.runners.ClassRoadie.runAfters(),10,3.7,3.11111111,0.311,2.0,0.2,37,4,4,37,19,19,0.10810811,0.10810811,0.51351351,0.51351351,4,8,4,0.4,0.8,0.4,22,11,0.33333333,0.9363060959999999,0.551086314,0.525993446,0.9506293309999999
446,druid440,druid,440,com.alibaba.druid.pool.DruidPooledConnection.transactionRecord(String),10,1.9,3.54545455,0.355,2.0,0.2,19,2,2,19,11,10,0.10526316,0.10526316,0.57894737,0.52631579,5,9,9,0.5,0.9,0.9,0,36,1.0,0.92971863,0.563034911,0.5141757779999999,0.9576055090000001
454,jcodec311,jcodec,311,"org.jcodec.codecs.h264.decode.BlockInterpolator.getLuma23(byte[],int,byte[],int,int,int,int,int,int)",12,1.66666667,3.78125,0.315,2.0,0.16666667,20,4,4,20,10,10,0.2,0.2,0.5,0.5,3,11,3,0.25,0.91666667,0.25,0,99,1.0,0.971825313,0.5270462779999999,0.5270462779999999,0.971825313
464,mybatis-3193,mybatis-3,193,org.apache.ibatis.mapping.CacheBuilder.setStandardDecorators(Cache),19,1.89473684,4.05263158,0.213,2.0,0.10526316,36,10,7,36,21,19,0.27777778,0.19444444,0.58333333,0.52777778,7,16,26,0.36842105,0.84210526,1.36842105,14,57,0.8028168999999999,1.0117054109999999,0.538172573,0.48381211,1.038799017
466,arthas2,arthas,2,"com.taobao.arthas.core.view.ObjectView.renderObject(Object,int,int,StringBuilder)",519,6.42774567,130.182045,0.251,15.0,0.02890173,3336,762,754,3336,2078,1980,0.22841727,0.22601919,0.62290168,0.59352518,93,262,122,0.17919075,0.50481696,0.23506744,377,1326,0.77862595,1.052736258,0.5942284489999999,0.40750103,1.138114225
